PO Number,Document Date,Posting Date,Material Code,Material Description,Short Text,Supplier Name,Order Quantity,Unit of Measure,Net Price,Currency,Subtotal Raw,FX Rate to INR,Total INR,Total In Crs,Material Group,Plant,Fiscal Year
PO-2024-450212,2024-05-15,2024-05-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Universal Corrugators Pvt Ltd,9,DRUM,1497,INR,13473,1,13473,0.0013,PACKAGING,1010,FY25
PO-2024-450213,2024-06-15,2024-06-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,3M Safety & Industrial PPE Ltd,3,TRIP,63824,USD,191472,85.5,16370856,1.6371,FREIGHT,1020,FY25
PO-2024-450214,2024-07-15,2024-07-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,Kuehne + Nagel Supply Chain Ltd,4,CONT,2541,USD,10164,85.5,869022,0.0869,FREIGHT,2000,FY25
PO-2024-450215,2024-08-15,2024-08-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,Blue Dart Express Domestic Freight,5,TRIP,91471,INR,457355,1,457355,0.0457,FREIGHT,3000,FY25
PO-2024-450216,2024-09-15,2024-09-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,TCI Freight Transport Logistics,85,MONTH,279412,INR,23750020,1,23750020,2.375,FREIGHT,1000,FY25
PO-2024-450217,2024-10-15,2024-10-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,DHL Global Freight Solutions,950,KG,504,EUR,478800,92.4,44241120,4.4241,FREIGHT,1010,FY25
PO-2024-450218,2024-11-15,2024-11-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,Siemens Industrial Automation Ltd,3,SET,5394,EUR,16182,92.4,1495217,0.1495,MRO,1020,FY25
PO-2024-450219,2024-12-15,2024-12-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,3M Safety & Industrial PPE Ltd,100,UNIT,146765,USD,14676500,85.5,1254840750,125.4841,MRO,2000,FY25
PO-2025-450220,2025-01-15,2025-01-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,Schneider Electric Power Systems,5,SET,26118,INR,130590,1,130590,0.0131,MRO,3000,FY26
PO-2025-450221,2025-02-15,2025-02-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,Atlas Copco Compressor India,6,DRUM,70412,INR,422472,1,422472,0.0422,MRO,1000,FY26
PO-2025-450222,2025-03-15,2025-03-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,Castrol Industrial Lubricants Ltd,2600,PCS,4500,INR,11700000,1,11700000,1.17,MRO,1010,FY26
PO-2025-450223,2025-04-15,2025-04-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,2700,BOX,48,USD,129600,85.5,11080800,1.1081,CONSUMABLES,1020,FY26
PO-2025-450224,2025-05-15,2025-05-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,25,PAIR,136,USD,3400,85.5,290700,0.0291,CONSUMABLES,2000,FY26
PO-2025-450225,2025-06-15,2025-06-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,53,MT,1262,EUR,66886,92.4,6180266,0.618,POLYMERS,3000,FY26
PO-2025-450226,2025-07-15,2025-07-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,5,MT,1182,EUR,5910,92.4,546084,0.0546,POLYMERS,1000,FY26
PO-2025-450227,2025-08-15,2025-08-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,7,MT,1253,USD,8771,85.5,749921,0.075,POLYMERS,1010,FY26
PO-2025-450228,2025-09-15,2025-09-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,45,KL,141,USD,6345,85.5,542498,0.0542,CHEMICAL,1020,FY26
PO-2025-450229,2025-10-15,2025-10-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,11,MT,325,INR,3575,1,3575,0.0004,CHEMICAL,2000,FY26
PO-2025-450230,2025-11-15,2025-11-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,1600,KG,2482,EUR,3971200,92.4,366938880,36.6939,CHEMICAL,3000,FY26
PO-2025-450231,2025-12-15,2025-12-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,15,MT,114,INR,1710,1,1710,0.0002,CHEMICAL,1000,FY26
PO-2026-450232,2026-01-15,2026-01-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,17,MT,1156,USD,19652,85.5,1680246,0.168,POLYMERS,1010,FY26
PO-2026-450233,2026-02-15,2026-02-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,1750,KG,460,EUR,805000,92.4,74382000,7.4382,CHEMICAL,1020,FY26
PO-2026-450234,2026-03-15,2026-03-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,TCPL Packaging Containers,3800,BOX,56,INR,212800,1,212800,0.0213,PACKAGING,2000,FY26
PO-2023-450235,2023-01-15,2023-01-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Parksons Packaging Solutions,1850,KG,289,INR,534650,1,534650,0.0535,PACKAGING,3000,FY24
PO-2023-450236,2023-02-15,2023-02-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Universal Corrugators Pvt Ltd,4000,PCS,16,INR,64000,1,64000,0.0064,PACKAGING,1000,FY24
PO-2023-450237,2023-03-15,2023-03-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,3M Safety & Industrial PPE Ltd,90,ROLL,213,USD,19170,85.5,1639035,0.1639,PACKAGING,1010,FY24
PO-2023-450238,2023-04-15,2023-04-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,Signode Industrial Packaging Ltd,95,ROLL,1179,INR,112005,1,112005,0.0112,PACKAGING,1020,FY24
PO-2023-450239,2023-05-15,2023-05-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Huhtamaki Flexible Packaging Ltd,4300,PCS,12,INR,51600,1,51600,0.0052,PACKAGING,2000,FY24
PO-2023-450240,2023-06-15,2023-06-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Essel Propack Laminated Tubes,13,DRUM,1285,INR,16705,1,16705,0.0017,PACKAGING,3000,FY24
PO-2023-450241,2023-07-15,2023-07-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,DHL Global Freight Solutions,1,TRIP,49706,EUR,49706,92.4,4592834,0.4593,FREIGHT,1000,FY24
PO-2023-450242,2023-08-15,2023-08-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,Maersk Line Logistics India,2,CONT,2047,USD,4094,85.5,350037,0.035,FREIGHT,1010,FY24
PO-2023-450243,2023-09-15,2023-09-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,3M Safety & Industrial PPE Ltd,3,TRIP,75588,USD,226764,85.5,19388322,1.9388,FREIGHT,1020,FY24
PO-2023-450244,2023-10-15,2023-10-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,Kuehne + Nagel Supply Chain Ltd,25,MONTH,208824,USD,5220600,85.5,446361300,44.6361,FREIGHT,2000,FY24
PO-2023-450245,2023-11-15,2023-11-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,Blue Dart Express Domestic Freight,350,KG,412,INR,144200,1,144200,0.0144,FREIGHT,3000,FY24
PO-2023-450246,2023-12-15,2023-12-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,3M Safety & Industrial PPE Ltd,7,SET,3735,USD,26145,85.5,2235398,0.2235,MRO,1000,FY24
PO-2024-450247,2024-01-15,2024-01-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,Schneider Electric Power Systems,40,UNIT,120294,INR,4811760,1,4811760,0.4812,MRO,1010,FY25
PO-2024-450248,2024-02-15,2024-02-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,Atlas Copco Compressor India,9,SET,20471,INR,184239,1,184239,0.0184,MRO,1020,FY25
PO-2024-450249,2024-03-15,2024-03-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,Castrol Industrial Lubricants Ltd,10,DRUM,60882,INR,608820,1,608820,0.0609,MRO,2000,FY25
PO-2024-450250,2024-04-15,2024-04-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,ABB Power Grids India Pvt Ltd,5400,PCS,9029,INR,48756600,1,48756600,4.8757,MRO,3000,FY25
PO-2024-450251,2024-05-15,2024-05-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,500,BOX,80,USD,40000,85.5,3420000,0.342,CONSUMABLES,1000,FY25
PO-2024-450252,2024-06-15,2024-06-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,65,PAIR,227,USD,14755,85.5,1261553,0.1262,CONSUMABLES,1010,FY25
PO-2024-450253,2024-07-15,2024-07-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,9,MT,1488,EUR,13392,92.4,1237421,0.1237,POLYMERS,1020,FY25
PO-2024-450254,2024-08-15,2024-08-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,11,MT,1409,EUR,15499,92.4,1432108,0.1432,POLYMERS,2000,FY25
PO-2024-450255,2024-09-15,2024-09-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,13,MT,1479,USD,19227,85.5,1643909,0.1644,POLYMERS,3000,FY25
PO-2024-450256,2024-10-15,2024-10-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,85,KL,120,USD,10200,85.5,872100,0.0872,CHEMICAL,1000,FY25
PO-2024-450257,2024-11-15,2024-11-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,17,MT,286,INR,4862,1,4862,0.0005,CHEMICAL,1010,FY25
PO-2024-450258,2024-12-15,2024-12-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,1000,KG,2271,EUR,2271000,92.4,209840400,20.984,CHEMICAL,1020,FY25
PO-2025-450259,2025-01-15,2025-01-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,21,MT,95,INR,1995,1,1995,0.0002,CHEMICAL,2000,FY26
PO-2025-450260,2025-02-15,2025-02-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,23,MT,1032,USD,23736,85.5,2029428,0.2029,POLYMERS,3000,FY26
PO-2025-450261,2025-03-15,2025-03-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,1150,KG,400,EUR,460000,92.4,42504000,4.2504,CHEMICAL,1000,FY26
PO-2025-450262,2025-04-15,2025-04-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,Signode Industrial Packaging Ltd,1600,BOX,46,INR,73600,1,73600,0.0074,PACKAGING,1010,FY26
PO-2025-450263,2025-05-15,2025-05-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Huhtamaki Flexible Packaging Ltd,1250,KG,257,INR,321250,1,321250,0.0321,PACKAGING,1020,FY26
PO-2025-450264,2025-06-15,2025-06-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Essel Propack Laminated Tubes,1800,PCS,13,INR,23400,1,23400,0.0023,PACKAGING,2000,FY26
PO-2025-450265,2025-07-15,2025-07-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,Amcor Packaging India Ltd,30,ROLL,192,INR,5760,1,5760,0.0006,PACKAGING,3000,FY26
PO-2025-450266,2025-08-15,2025-08-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,TCPL Packaging Containers,35,ROLL,1056,INR,36960,1,36960,0.0037,PACKAGING,1000,FY26
PO-2025-450267,2025-09-15,2025-09-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Parksons Packaging Solutions,2100,PCS,22,INR,46200,1,46200,0.0046,PACKAGING,1010,FY26
PO-2025-450268,2025-10-15,2025-10-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Universal Corrugators Pvt Ltd,5,DRUM,1674,INR,8370,1,8370,0.0008,PACKAGING,1020,FY26
PO-2025-450269,2025-11-15,2025-11-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,Blue Dart Express Domestic Freight,5,TRIP,75588,INR,377940,1,377940,0.0378,FREIGHT,2000,FY26
PO-2025-450270,2025-12-15,2025-12-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,TCI Freight Transport Logistics,6,CONT,2953,INR,17718,1,17718,0.0018,FREIGHT,3000,FY26
PO-2026-450271,2026-01-15,2026-01-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,DHL Global Freight Solutions,1,TRIP,104706,EUR,104706,92.4,9674834,0.9675,FREIGHT,1000,FY26
PO-2026-450272,2026-02-15,2026-02-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,Maersk Line Logistics India,65,MONTH,338235,USD,21985275,85.5,1879741013,187.9741,FREIGHT,1010,FY26
PO-2026-450273,2026-03-15,2026-03-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,3M Safety & Industrial PPE Ltd,1750,KG,320,USD,560000,85.5,47880000,4.788,FREIGHT,1020,FY26
PO-2023-450274,2023-01-15,2023-01-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,Schneider Electric Power Systems,11,SET,2076,INR,22836,1,22836,0.0023,MRO,2000,FY24
PO-2023-450275,2023-02-15,2023-02-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,Atlas Copco Compressor India,80,UNIT,93824,INR,7505920,1,7505920,0.7506,MRO,3000,FY24
PO-2023-450276,2023-03-15,2023-03-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,Castrol Industrial Lubricants Ltd,13,SET,14824,INR,192712,1,192712,0.0193,MRO,1000,FY24
PO-2023-450277,2023-04-15,2023-04-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,ABB Power Grids India Pvt Ltd,2,DRUM,51353,INR,102706,1,102706,0.0103,MRO,1010,FY24
PO-2023-450278,2023-05-15,2023-05-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,Festo Pneumatics India Pvt Ltd,3200,PCS,6559,INR,20988800,1,20988800,2.0989,MRO,1020,FY24
PO-2023-450279,2023-06-15,2023-06-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,3300,BOX,63,USD,207900,85.5,17775450,1.7775,CONSUMABLES,2000,FY24
PO-2023-450280,2023-07-15,2023-07-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,105,PAIR,178,USD,18690,85.5,1597995,0.1598,CONSUMABLES,3000,FY24
PO-2023-450281,2023-08-15,2023-08-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,15,MT,1365,EUR,20475,92.4,1891890,0.1892,POLYMERS,1000,FY24
PO-2023-450282,2023-09-15,2023-09-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,17,MT,1285,EUR,21845,92.4,2018478,0.2018,POLYMERS,1010,FY24
PO-2023-450283,2023-10-15,2023-10-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,19,MT,1356,USD,25764,85.5,2202822,0.2203,POLYMERS,1020,FY24
PO-2023-450284,2023-11-15,2023-11-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,25,KL,159,USD,3975,85.5,339863,0.034,CHEMICAL,2000,FY24
PO-2023-450285,2023-12-15,2023-12-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,23,MT,358,INR,8234,1,8234,0.0008,CHEMICAL,3000,FY24
PO-2024-450286,2024-01-15,2024-01-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,400,KG,2659,EUR,1063600,92.4,98276640,9.8277,CHEMICAL,1000,FY25
PO-2024-450287,2024-02-15,2024-02-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,27,MT,130,INR,3510,1,3510,0.0004,CHEMICAL,1010,FY25
PO-2024-450288,2024-03-15,2024-03-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,29,MT,1259,USD,36511,85.5,3121691,0.3122,POLYMERS,1020,FY25
PO-2024-450289,2024-04-15,2024-04-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,550,KG,510,EUR,280500,92.4,25918200,2.5918,CHEMICAL,2000,FY25
PO-2024-450290,2024-05-15,2024-05-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,TCPL Packaging Containers,4400,BOX,35,INR,154000,1,154000,0.0154,PACKAGING,3000,FY25
PO-2024-450291,2024-06-15,2024-06-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Parksons Packaging Solutions,650,KG,225,INR,146250,1,146250,0.0146,PACKAGING,1000,FY25
PO-2024-450292,2024-07-15,2024-07-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Universal Corrugators Pvt Ltd,4600,PCS,9,INR,41400,1,41400,0.0041,PACKAGING,1010,FY25
PO-2024-450293,2024-08-15,2024-08-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,3M Safety & Industrial PPE Ltd,70,ROLL,171,USD,11970,85.5,1023435,0.1023,PACKAGING,1020,FY25
PO-2024-450294,2024-09-15,2024-09-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,Signode Industrial Packaging Ltd,75,ROLL,932,INR,69900,1,69900,0.007,PACKAGING,2000,FY25
PO-2024-450295,2024-10-15,2024-10-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Huhtamaki Flexible Packaging Ltd,4900,PCS,17,INR,83300,1,83300,0.0083,PACKAGING,3000,FY25
PO-2024-450296,2024-11-15,2024-11-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Essel Propack Laminated Tubes,9,DRUM,1462,INR,13158,1,13158,0.0013,PACKAGING,1000,FY25
PO-2024-450297,2024-12-15,2024-12-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,3M Safety & Industrial PPE Ltd,3,TRIP,61471,USD,184413,85.5,15767312,1.5767,FREIGHT,1010,FY25
PO-2025-450298,2025-01-15,2025-01-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,Kuehne + Nagel Supply Chain Ltd,4,CONT,2459,USD,9836,85.5,840978,0.0841,FREIGHT,1020,FY26
PO-2025-450299,2025-02-15,2025-02-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,Blue Dart Express Domestic Freight,5,TRIP,88824,INR,444120,1,444120,0.0444,FREIGHT,2000,FY26
PO-2025-450300,2025-03-15,2025-03-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,TCI Freight Transport Logistics,105,MONTH,267647,INR,28102935,1,28102935,2.8103,FREIGHT,3000,FY26
PO-2025-450301,2025-04-15,2025-04-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,DHL Global Freight Solutions,1150,KG,488,EUR,561200,92.4,51854880,5.1855,FREIGHT,1000,FY26
PO-2025-450302,2025-05-15,2025-05-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,Atlas Copco Compressor India,3,SET,5118,INR,15354,1,15354,0.0015,MRO,1010,FY26
PO-2025-450303,2025-06-15,2025-06-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,Castrol Industrial Lubricants Ltd,20,UNIT,142353,INR,2847060,1,2847060,0.2847,MRO,1020,FY26
PO-2025-450304,2025-07-15,2025-07-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,ABB Power Grids India Pvt Ltd,5,SET,25176,INR,125880,1,125880,0.0126,MRO,2000,FY26
PO-2025-450305,2025-08-15,2025-08-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,Festo Pneumatics India Pvt Ltd,6,DRUM,68824,INR,412944,1,412944,0.0413,MRO,3000,FY26
PO-2025-450306,2025-09-15,2025-09-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,Honeywell Industrial Automation,1000,PCS,11088,USD,11088000,85.5,948024000,94.8024,MRO,1000,FY26
PO-2025-450307,2025-10-15,2025-10-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,1100,BOX,45,USD,49500,85.5,4232250,0.4232,CONSUMABLES,1010,FY26
PO-2025-450308,2025-11-15,2025-11-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,45,PAIR,128,USD,5760,85.5,492480,0.0492,CONSUMABLES,1020,FY26
PO-2025-450309,2025-12-15,2025-12-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,21,MT,1241,EUR,26061,92.4,2408036,0.2408,POLYMERS,2000,FY26
PO-2026-450310,2026-01-15,2026-01-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,23,MT,1162,EUR,26726,92.4,2469482,0.2469,POLYMERS,3000,FY26
PO-2026-450311,2026-02-15,2026-02-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,25,MT,1232,USD,30800,85.5,2633400,0.2633,POLYMERS,1000,FY26
PO-2026-450312,2026-03-15,2026-03-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,65,KL,138,USD,8970,85.5,766935,0.0767,CHEMICAL,1010,FY26
PO-2023-450313,2023-01-15,2023-01-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,29,MT,319,INR,9251,1,9251,0.0009,CHEMICAL,1020,FY24
PO-2023-450314,2023-02-15,2023-02-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,1800,KG,2447,EUR,4404600,92.4,406985040,40.6985,CHEMICAL,2000,FY24
PO-2023-450315,2023-03-15,2023-03-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,33,MT,111,INR,3663,1,3663,0.0004,CHEMICAL,3000,FY24
PO-2023-450316,2023-04-15,2023-04-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,35,MT,1135,USD,39725,85.5,3396488,0.3396,POLYMERS,1000,FY24
PO-2023-450317,2023-05-15,2023-05-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,1950,KG,450,EUR,877500,92.4,81081000,8.1081,CHEMICAL,1010,FY24
